"target","feature_set","n_features","method","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"y2","dynamic",14,"ridge-LSE",6047,2016,2016,3,3,18,0,0,0.185822876296282,0.00536733943972112,-0.000552859562204981,0.451884920634921,-0.00327681795444179,0.2395345,202,0.552996083172104,0.0148771148606767,-0.00681502370921193,0.811881188118812,-0.0234573759412048,0.2814253775,101,0.789474824171316,0.0177988283980768,-0.00896298073462117,0.811881188118812,-0.027989596185799
"y2","dynamic",14,"PMM",6047,2016,2016,3,3,18,0.555555555555556,0,0.186185647638496,0.00544640961575214,6.08847928182611e-05,0.372519841269841,0.000360866295707973,0.2395345,202,0.552673214162395,0.0136884985409671,-0.00509355123007908,0.797029702970297,-0.01753205141726,0.2814253775,101,0.787474861833841,0.0158147581306293,-0.00612781618262294,0.792079207920792,-0.0191359443393551
"y2","dynamic",14,"LSE",6047,2016,2016,3,3,18,0,0,0.186426983974959,0.00540311183649245,-0.000601359302875178,0.463293650793651,-0.00356427761305889,0.2395345,202,0.553993575108978,0.0149133127518245,-0.00683626001843701,0.806930693069307,-0.0235304715180291,0.2814253775,101,0.791260559979447,0.0178574687541792,-0.00899424678728178,0.801980198019802,-0.0280872338148654
"y2","dynamic",14,"Huber",6047,2016,2016,3,3,18,0,0,0.195751964060039,0.00406861471815211,0.000155955082043341,0.527777777777778,0.000924351223822839,0.2395345,202,0.625440004532088,0.0113059549823774,0.00412078438133568,0.673267326732673,0.0141837787409271,0.2814253775,101,0.900426392518058,0.0133262085075613,0.00565703511782591,0.673267326732673,0.017665789232953
"y2","dynamic",14,"L1",6047,2016,2016,3,3,18,0,0,0.199453631006371,0.00398377499497977,-0.000120753199087938,0.469246031746032,-0.000715708432806883,0.2395345,202,0.611335235484687,0.011130477112476,0.00398183476202109,0.698019801980198,0.0137055128395562,0.2814253775,101,0.871669963573914,0.0128095769771024,0.00585514542485831,0.673267326732673,0.0182844480985982
"y2","static",5,"ridge-LSE",6048,2016,2017,3,2,18,0,0,1.00087765871573,0.0426846771146084,3.64102408746448e-05,0.43728309370352,0.000215790637646762,0.23952046,202,3.26871291319419,0.118616178912925,-0.118616178912925,1,-0.408278007559772,0.281415768,101,4.82636367011242,0.144050077466895,-0.144050077466895,1,-0.449839581073463
"y2","static",5,"LSE",6048,2016,2017,3,2,18,0,0,1.00092979385899,0.0426913508110962,3.87938151737362e-05,0.437778879524046,0.000229917240645916,0.23952046,202,3.26847363973585,0.118607553780351,-0.118607553780351,1,-0.408248319772033,0.281415768,101,4.82577795769162,0.144029830876648,-0.144029830876648,1,-0.449776355021556
"y2","static",5,"Huber",6048,2016,2017,3,2,18,0,0,1.01085496198633,0.041303007692475,-0.0132179536637364,0.589985126425384,-0.0783381428133529,0.23952046,202,3.65366945500555,0.13291866025026,-0.13291866025026,1,-0.457507283338877,0.281415768,101,5.4161648958988,0.162358851724005,-0.162358851724005,1,-0.507014221216782
"y2","static",5,"PMM",6048,2016,2017,3,3,18,1,0,2.26390625511539,0.082882571097376,0.048765139844853,0.401586514625682,0.289013760122337,0.23952046,202,3.60966809650907,0.118398600930898,-0.0541411892067845,0.851485148514851,-0.186354484344749,0.281415768,101,5.14596241369292,0.143649151057562,-0.0518501854920189,0.792079207920792,-0.161917758952065
"y2","static",5,"L1",6048,2016,2017,3,3,18,0,0,2.90329341435899,0.0948351400800468,-0.0719434239351043,0.656420426375806,-0.426383263407258,0.23952046,202,6.31407161802489,0.182919625431487,-0.182919625431487,1,-0.629611077503778,0.281415768,101,9.89448492608923,0.24438585748836,-0.24438585748836,1,-0.763168154339293
