"criterion","method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","nrmse_max","cov_med","cov_q1","cov_q3","width_med","cond_med","pmm2_med"
"MSE","L1",1,1.34632704395292,1.34632704395292,1.34632704395292,1.34632704395292,0.812971342383107,0.812971342383107,0.812971342383107,1.18576663578874,3.51658455867167,0
"MSE","Huber",1,5.20238268357706,5.20238268357706,5.20238268357706,5.20238268357706,0.425904977375566,0.425904977375566,0.425904977375566,2.46900713534233,3.41312569848303,0
"MSE","PMM",1,6.18592243389983,6.18592243389983,6.18592243389983,6.18592243389983,0.424396681749623,0.424396681749623,0.424396681749623,2.96212825890481,3.39933046771478,1
"MSE","ridge-LSE",1,8.19848424819008,8.19848424819008,8.19848424819008,8.19848424819008,0.423453996983409,0.423453996983409,0.423453996983409,3.56653950684654,3.1311445825701,0
"MSE","LSE",1,8.19849844750212,8.19849844750212,8.19849844750212,8.19849844750212,0.423453996983409,0.423453996983409,0.423453996983409,3.56654399372451,3.13114398936912,0
"ReserveTW4","L1",1,1.34632704395292,1.34632704395292,1.34632704395292,1.34632704395292,0.812971342383107,0.812971342383107,0.812971342383107,1.18576663578874,3.51658455867167,0
"ReserveTW4","Huber",1,5.20238268357706,5.20238268357706,5.20238268357706,5.20238268357706,0.425904977375566,0.425904977375566,0.425904977375566,2.46900713534233,3.41312569848303,0
"ReserveTW4","PMM",1,6.18592243389983,6.18592243389983,6.18592243389983,6.18592243389983,0.424396681749623,0.424396681749623,0.424396681749623,2.96212825890481,3.39933046771478,1
"ReserveTW4","ridge-LSE",1,8.19848424819008,8.19848424819008,8.19848424819008,8.19848424819008,0.423453996983409,0.423453996983409,0.423453996983409,3.56653950684654,3.1311445825701,0
"ReserveTW4","LSE",1,8.19849844750212,8.19849844750212,8.19849844750212,8.19849844750212,0.423453996983409,0.423453996983409,0.423453996983409,3.56654399372451,3.13114398936912,0
