"seed","method","nrmse_test","coverage","width","pmm2_share","pmm3_share"
75020,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75020,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75021,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75021,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75021,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75021,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75021,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75021,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75022,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75022,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75022,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75022,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75022,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75022,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75023,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75023,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75023,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75023,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75023,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75023,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75024,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75024,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75024,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75024,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75024,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75024,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75025,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75025,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75025,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75025,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75025,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75025,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
