"seed","criterion","method","nrmse_test","nrmse_cal","coverage","n_test","n_in","width","max_log10_cond","pmm2_share","pmm3_share","best_layer","n_train","n_val"
75001,"MSE","PMM",6.29684823026603,4.33436668770807,0.507670850767085,2151,1092,5.29435966482508,3.83464932750068,0.333333333333333,0,3,2100,700
75001,"MSE","LSE",5.44553045344949,3.9959785042396,0.668526266852627,2151,1438,5.0683885525005,3.82801742981116,0,0,3,2100,700
75001,"MSE","ridge-LSE",5.44811494383068,3.99658063082873,0.668991166899117,2151,1439,5.07027813262112,3.82801784591725,0,0,3,2100,700
75001,"MSE","Huber",4.20769417206568,3.64049280335225,0.923756392375639,2151,1987,4.74987389943322,4.6579220962893,0,0,3,2100,700
75001,"MSE","L1",2.93236192054539,3.26506282130009,0.98465829846583,2151,2118,4.45002081040975,3.66431514273491,0,0,3,2100,700
75001,"ReserveTW4","PMM",6.29684823026603,4.33436668770807,0.507670850767085,2151,1092,5.29435966482508,3.83464932750068,0.333333333333333,0,3,2100,700
75001,"ReserveTW4","LSE",5.44553045344949,3.9959785042396,0.668526266852627,2151,1438,5.0683885525005,3.82801742981116,0,0,3,2100,700
75001,"ReserveTW4","ridge-LSE",5.44811494383068,3.99658063082873,0.668991166899117,2151,1439,5.07027813262112,3.82801784591725,0,0,3,2100,700
75001,"ReserveTW4","Huber",4.20769417206568,3.64049280335225,0.923756392375639,2151,1987,4.74987389943322,4.6579220962893,0,0,3,2100,700
75001,"ReserveTW4","L1",2.93236192054539,3.26506282130009,0.98465829846583,2151,2118,4.45002081040975,3.66431514273491,0,0,3,2100,700
75002,"MSE","PMM",5.78218616479294,4.21139701161903,0.621571362157136,2151,1337,5.21146792336377,4.25066495742511,0.555555555555556,0,3,2100,700
75002,"MSE","LSE",4.64098206134724,3.8110128142011,0.833100883310088,2151,1792,4.86487030242927,4.4647919616026,0,0,3,2100,700
75002,"MSE","ridge-LSE",4.64057188713354,3.81088272784189,0.833565783356578,2151,1793,4.86412568019468,4.46975784372964,0,0,3,2100,700
75002,"MSE","Huber",3.65254266584959,3.48546318298912,0.94514179451418,2151,2033,4.54297840275415,4.6518467937324,0,0,3,2100,700
75002,"MSE","L1",2.3771288637157,3.20060285268997,0.9860529986053,2151,2121,4.34297413489718,3.57307044314396,0,0,3,2100,700
75002,"ReserveTW4","PMM",5.78218616479294,4.21139701161903,0.621571362157136,2151,1337,5.21146792336377,4.25066495742511,0.555555555555556,0,3,2100,700
75002,"ReserveTW4","LSE",4.64098206134724,3.8110128142011,0.833100883310088,2151,1792,4.86487030242927,4.4647919616026,0,0,3,2100,700
75002,"ReserveTW4","ridge-LSE",4.64057188713354,3.81088272784189,0.833565783356578,2151,1793,4.86412568019468,4.46975784372964,0,0,3,2100,700
75002,"ReserveTW4","Huber",3.65254266584959,3.48546318298912,0.94514179451418,2151,2033,4.54297840275415,4.6518467937324,0,0,3,2100,700
75002,"ReserveTW4","L1",2.3771288637157,3.20060285268997,0.9860529986053,2151,2121,4.34297413489718,3.57307044314396,0,0,3,2100,700
75003,"MSE","PMM",3.73003100425775,3.58886238493412,0.944211994421199,2151,2031,4.56111321428072,3.79289649936767,0.0555555555555556,0,3,2100,700
75003,"MSE","LSE",3.73003100425775,3.58886238493412,0.944211994421199,2151,2031,4.56111321428072,3.79289649936767,0,0,3,2100,700
75003,"MSE","ridge-LSE",3.76179841549492,3.58307698415619,0.944676894467689,2151,2032,4.55087854111607,4.75641131340808,0,0,3,2100,700
75003,"MSE","Huber",2.73138204030845,3.22572918460146,0.95862389586239,2151,2062,4.24824527141511,4.762717634184,0,0,3,2100,700
75003,"MSE","L1",1.43085255685282,2.70343391934107,0.9860529986053,2151,2121,3.74386761924709,3.62693771089947,0,0,3,2100,700
75003,"ReserveTW4","PMM",3.76453480508242,3.58555095411507,0.944211994421199,2151,2031,4.55080816941104,3.79289649936767,0.0555555555555556,0,3,2100,700
75003,"ReserveTW4","LSE",3.76453480508242,3.58555095411507,0.944211994421199,2151,2031,4.55080816941104,3.79289649936767,0,0,3,2100,700
75003,"ReserveTW4","ridge-LSE",3.76179841549492,3.58307698415619,0.944676894467689,2151,2032,4.55087854111607,4.75641131340808,0,0,3,2100,700
