"target","method","train_years","validation_year","test_year","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"CO","Huber","2011-2013",2014,2015,22191,7158,7384,3,1,18,0,0,0.760824104908531,1.15845785313204,-1.05522619329398,0.905877573131094,-0.337134526707757,5.37111,739,1.08762070284852,2.36427943641199,-2.24241207543457,0.967523680649526,-0.275188665086277,7.082625,370,1.28025589829419,3.08367813462125,-2.97378252251061,0.975675675675676,-0.291294896862005
"CO","PMM","2011-2013",2014,2015,22191,7158,7384,3,1,18,1,0,0.766943511496991,1.17227722314869,-1.05561966207857,0.876895991332611,-0.337260236165417,5.37111,739,1.10156681528842,2.42376275140952,-2.35213230560737,0.979702300405954,-0.288653524647543,7.082625,370,1.31536222464487,3.31170226899964,-3.26111413166144,0.986486486486487,-0.319440274279223
"CO","L1","2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,0.819213201131417,1.09366613210502,-0.844344607416188,0.867822318526544,-0.26975990684132,5.37111,739,1.29194094775627,2.17991403989547,-1.138506439161,0.836265223274696,-0.139717436691082,7.082625,370,1.54082881426022,2.84596453256639,-1.2784949500559,0.816216216216216,-0.125234125829992
"CO","ridge-LSE","2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,1.13151523193365,1.19973454104187,-0.982845096240906,0.900866738894908,-0.314009468731893,5.37111,739,1.21739762184405,2.20865026461629,-1.80438468477243,0.925575101488498,-0.221433971991263,7.082625,370,1.47049127136493,2.98707300452711,-2.35921306043017,0.910810810810811,-0.231095152356101
"CO","LSE","2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,1.13151523198526,1.19973454104915,-0.98284509629761,0.900866738894908,-0.31400946875001,5.37111,739,1.21739762201048,2.20865026470622,-1.80438468520692,0.925575101488498,-0.221433972044584,7.082625,370,1.47049127157852,2.98707300459592,-2.35921306112132,0.910810810810811,-0.231095152423803
