"rep","tail_weight","estimator","claim_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
1,8,"Huber",7,100,122846.47,115026.620625785,-0.0636554666504844,1228.4647,1150.26620625785
1,8,"Huber",8,100,153642.53,119863.862275704,-0.219852326854396,1536.4253,1198.63862275704
1,8,"Huber",9,100,244323.07,116338.126695139,-0.523834868745144,2443.2307,1163.38126695139
1,8,"Huber",10,100,2634867.47,121456.759195117,-0.95390403480327,26348.6747,1214.56759195117
1,8,"L1",1,100,9250.61,117537.232875971,11.7058899765497,92.5061,1175.37232875971
1,8,"L1",2,100,37846.04,117491.533115159,2.10446041686683,378.4604,1174.91533115159
1,8,"L1",3,100,70902.81,117354.149257675,0.655141019907038,709.0281,1173.54149257675
1,8,"L1",4,100,108532.24,117291.080593702,0.0807026611972781,1085.3224,1172.91080593702
1,8,"L1",5,100,115052.28,117623.737433828,0.0223503387662405,1150.5228,1176.23737433828
1,8,"L1",6,100,118844.61,117266.015003081,-0.0132828488975594,1188.4461,1172.66015003081
1,8,"L1",7,100,122846.47,117716.203115108,-0.041761614191208,1228.4647,1177.16203115108
1,8,"L1",8,100,153642.53,118374.60841214,-0.22954530615878,1536.4253,1183.7460841214
1,8,"L1",9,100,244323.07,117698.695295118,-0.518266141240291,2443.2307,1176.98695295119
1,8,"L1",10,100,2634867.47,118399.404867615,-0.955064379436278,26348.6747,1183.99404867615
1,16,"PMM-auto",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,16,"PMM-auto",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,16,"PMM-auto",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,16,"PMM-auto",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,16,"PMM-auto",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,16,"PMM-auto",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,16,"PMM-auto",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,16,"PMM-auto",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,16,"PMM-auto",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,16,"PMM-auto",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,16,"PMM-relaxed",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,16,"PMM-relaxed",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,16,"PMM-relaxed",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,16,"PMM-relaxed",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,16,"PMM-relaxed",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,16,"PMM-relaxed",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,16,"PMM-relaxed",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,16,"PMM-relaxed",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,16,"PMM-relaxed",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,16,"PMM-relaxed",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,16,"LSE",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,16,"LSE",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,16,"LSE",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,16,"LSE",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,16,"LSE",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,16,"LSE",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,16,"LSE",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,16,"LSE",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,16,"LSE",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,16,"LSE",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,16,"Huber",1,100,9250.61,115493.698027573,11.4849818582313,92.5061,1154.93698027573
1,16,"Huber",2,100,37846.04,115134.068193373,2.04216948968433,378.4604,1151.34068193373
1,16,"Huber",3,100,70902.81,115434.424065882,0.628065574070791,709.0281,1154.34424065882
1,16,"Huber",4,100,108532.24,113102.010074869,0.0421051852875152,1085.3224,1131.02010074869
1,16,"Huber",5,100,115052.28,115530.075615476,0.00415285655769582,1150.5228,1155.30075615476
1,16,"Huber",6,100,118844.61,114415.318401447,-0.0372696043897446,1188.4461,1144.15318401447
1,16,"Huber",7,100,122846.47,115026.620625785,-0.0636554666504844,1228.4647,1150.26620625785
1,16,"Huber",8,100,153642.53,119863.862275704,-0.219852326854396,1536.4253,1198.63862275704
1,16,"Huber",9,100,244323.07,116338.126695139,-0.523834868745144,2443.2307,1163.38126695139
1,16,"Huber",10,100,2634867.47,121456.759195117,-0.95390403480327,26348.6747,1214.56759195117
1,16,"L1",1,100,9250.61,117537.232875971,11.7058899765497,92.5061,1175.37232875971
1,16,"L1",2,100,37846.04,117491.533115159,2.10446041686683,378.4604,1174.91533115159
1,16,"L1",3,100,70902.81,117354.149257675,0.655141019907038,709.0281,1173.54149257675
1,16,"L1",4,100,108532.24,117291.080593702,0.0807026611972781,1085.3224,1172.91080593702
1,16,"L1",5,100,115052.28,117623.737433828,0.0223503387662405,1150.5228,1176.23737433828
1,16,"L1",6,100,118844.61,117266.015003081,-0.0132828488975594,1188.4461,1172.66015003081
1,16,"L1",7,100,122846.47,117716.203115108,-0.041761614191208,1228.4647,1177.16203115108
1,16,"L1",8,100,153642.53,118374.60841214,-0.22954530615878,1536.4253,1183.7460841214
1,16,"L1",9,100,244323.07,117698.695295118,-0.518266141240291,2443.2307,1176.98695295119
1,16,"L1",10,100,2634867.47,118399.404867615,-0.955064379436278,26348.6747,1183.99404867615
2,1,"PMM-auto",1,100,7734.78,229445.023984228,28.6640659442451,77.3478,2294.45023984228
2,1,"PMM-auto",2,100,35963.55,217195.414549567,5.03932077199183,359.6355,2171.95414549567
2,1,"PMM-auto",3,100,66985.58,247518.616546168,2.69510298404773,669.8558,2475.18616546168
2,1,"PMM-auto",4,100,105796.99,241398.711043788,1.28171624772868,1057.9699,2413.98711043788
2,1,"PMM-auto",5,100,115521.28,243776.016306051,1.11022606662644,1155.2128,2437.76016306051
2,1,"PMM-auto",6,100,119224.26,240700.587792265,1.01888934175197,1192.2426,2407.00587792266
2,1,"PMM-auto",7,100,125203.53,233227.26490399,0.862785058088941,1252.0353,2332.2726490399
2,1,"PMM-auto",8,100,170602.75,233979.050308212,0.371484634967562,1706.0275,2339.79050308212
2,1,"PMM-auto",9,100,268962.82,262168.183034629,-0.0252623651305064,2689.6282,2621.68183034629
2,1,"PMM-auto",10,100,1352571.27,222198.548703967,-0.835721374812311,13525.7127,2221.98548703967
2,1,"PMM-relaxed",1,100,7734.78,229445.023984228,28.6640659442451,77.3478,2294.45023984228
2,1,"PMM-relaxed",2,100,35963.55,217195.414549567,5.03932077199183,359.6355,2171.95414549567
2,1,"PMM-relaxed",3,100,66985.58,247518.616546168,2.69510298404773,669.8558,2475.18616546168
2,1,"PMM-relaxed",4,100,105796.99,241398.711043788,1.28171624772868,1057.9699,2413.98711043788
2,1,"PMM-relaxed",5,100,115521.28,243776.016306051,1.11022606662644,1155.2128,2437.76016306051
2,1,"PMM-relaxed",6,100,119224.26,240700.587792265,1.01888934175197,1192.2426,2407.00587792266
2,1,"PMM-relaxed",7,100,125203.53,233227.26490399,0.862785058088941,1252.0353,2332.2726490399
2,1,"PMM-relaxed",8,100,170602.75,233979.050308212,0.371484634967562,1706.0275,2339.79050308212
2,1,"PMM-relaxed",9,100,268962.82,262168.183034629,-0.0252623651305064,2689.6282,2621.68183034629
2,1,"PMM-relaxed",10,100,1352571.27,222198.548703967,-0.835721374812311,13525.7127,2221.98548703967
2,1,"LSE",1,100,7734.78,236791.011327496,29.6138004348535,77.3478,2367.91011327496
2,1,"LSE",2,100,35963.55,214477.031235203,4.96373359235124,359.6355,2144.77031235204
2,1,"LSE",3,100,66985.58,273154.563215757,3.07781142173818,669.8558,2731.54563215757
2,1,"LSE",4,100,105796.99,243450.066417903,1.30110579155327,1057.9699,2434.50066417903
2,1,"LSE",5,100,115521.28,241245.268777675,1.08831886884975,1155.2128,2412.45268777675
2,1,"LSE",6,100,119224.26,255495.338005337,1.14298111814942,1192.2426,2554.95338005337
2,1,"LSE",7,100,125203.53,237329.298011874,0.895547977056828,1252.0353,2373.29298011874
2,1,"LSE",8,100,170602.75,234410.322275978,0.374012565893448,1706.0275,2344.10322275979
2,1,"LSE",9,100,268962.82,238998.463088163,-0.111407059577369,2689.6282,2389.98463088163
2,1,"LSE",10,100,1352571.27,222878.10491593,-0.835218956768223,13525.7127,2228.7810491593
