"target","feature_set","n_features","method","criterion_label","criterion_type","interval_type","level","lower_offset","upper_offset","interval_width","train_years","calibration_year","test_year","n_train","n_cal","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","test_pred_min","test_pred_max","test_pred_sd","max_log10_condition","best_log10_condition","median_log10_condition","max_coef_l2","best_coef_l2","max_abs_coef","fit_pred_min","fit_pred_max","fit_pred_sd_max","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error","cal_coverage","cal_lower_miss_rate","cal_upper_miss_rate","cal_mean_width","test_coverage","test_lower_miss_rate","test_upper_miss_rate","test_mean_width","top10_coverage","top10_lower_miss_rate","top10_upper_miss_rate","top10_mean_width","top5_coverage","top5_lower_miss_rate","top5_upper_miss_rate","top5_mean_width"
"CO","target_lags",11,"ridge-LSE-1e-1","MSE","MSE","abs_residual_95",0.95,-2.14457622497908,2.14457622497908,4.28915244995817,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.414877412372327,19.1123719548062,2.40275882460707,2.99636804635374,2.56990336818139,2.15028045811913,3.31484886334484,0.944194659380336,2.69334410527676,-3.54011432883304,26.2925429923568,1.79407383206929,0.618415379767314,0.849047438317923,-0.387335638879644,0.74762936873476,-0.123791003339486,5.36365,739,0.9198494672138,1.46048318279728,0.012881493934105,0.328822733423545,0.00158165367732144,7.078395,370,1.09051304388454,1.708975934042,-0.578366556752927,0.448648648648649,-0.0566590674003792,0.949972051425377,0.0442984907769704,0.00572945779765232,4.28915244995817,0.965998374424275,0.0159848279599025,0.0180167976158223,4.28915244995817,0.87956698240866,0.054127198917456,0.0663058186738836,4.28915244995817,0.87027027027027,0.0540540540540541,0.0756756756756757,4.28915244995817
"CO","target_lags",11,"ridge-LSE-1e-2","MSE","MSE","abs_residual_95",0.95,-2.14466145289516,2.14466145289516,4.28932290579031,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413680963649167,19.1131675138147,2.40276794995455,2.99629448252596,2.56987432239658,2.15028309971949,3.32935982966802,0.944303047494108,2.70265036216793,-3.5424455072041,26.2926035792363,1.79407898240104,0.618416501024004,0.849046637952162,-0.387324008477594,0.74762936873476,-0.123787286307033,5.36365,739,0.919851461451182,1.46048886530813,0.0129079720784411,0.328822733423545,0.00158490479513129,7.078395,370,1.09051238090034,1.70896012023605,-0.578337454260335,0.448648648648649,-0.0566562164055037,0.949972051425377,0.0442984907769704,0.00572945779765232,4.28932290579031,0.965998374424275,0.0159848279599025,0.0180167976158223,4.28932290579031,0.87956698240866,0.054127198917456,0.0663058186738836,4.28932290579031,0.87027027027027,0.0540540540540541,0.0756756756756757,4.28932290579031
"CO","target_lags",11,"ridge-LSE-1e-4","MSE","MSE","abs_residual_95",0.95,-2.14467082868138,2.14467082868138,4.28934165736276,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413549343885897,19.1132550254758,2.40276895351099,2.99628638457184,2.56987112697306,2.15028339030153,3.33096277083804,0.944314971270741,2.70367754222425,-3.54270195314634,26.2926102440847,1.79407954894376,0.618416624386554,0.849046550820336,-0.38732272907183,0.747493904091032,-0.123786877413796,5.36365,739,0.919851680872229,1.46048948980688,0.0129108839365805,0.328822733423545,0.00158526232750722,7.078395,370,1.09051230797682,1.70895837936201,-0.578334254653292,0.448648648648649,-0.0566559029593867,0.949972051425377,0.0442984907769704,0.00572945779765232,4.28934165736276,0.965998374424275,0.0159848279599025,0.0180167976158223,4.28934165736276,0.87956698240866,0.054127198917456,0.0663058186738836,4.28934165736276,0.87027027027027,0.0540540540540541,0.0756756756756757,4.28934165736276
"CO","target_lags",11,"LSE","MSE","MSE","abs_residual_95",0.95,-2.14467092338691,2.14467092338691,4.28934184677382,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413548014391083,19.1132559094354,2.40276896364771,2.99628630276824,2.56987109469568,2.15028339323671,3.33097896906686,0.944315091713568,2.70368792133465,-3.54270454351088,26.2926103114064,1.79407955466641,0.618416625632692,0.849046549943676,-0.387322716148618,0.747493904091032,-0.123786873283588,5.36365,739,0.919851683088646,1.46048949611433,0.0129109133484318,0.328822733423545,0.00158526593884045,7.078395,370,1.09051230724021,1.70895836177608,-0.57833422233581,0.448648648648649,-0.0566558997934392,0.949972051425377,0.0442984907769704,0.00572945779765232,4.28934184677382,0.965998374424275,0.0159848279599025,0.0180167976158223,4.28934184677382,0.87956698240866,0.054127198917456,0.0663058186738836,4.28934184677382,0.87027027027027,0.0540540540540541,0.0756756756756757,4.28934184677382
"CO","target_lags",11,"PMM","MSE","MSE","abs_residual_95",0.95,-1.68132017113957,1.68132017113957,3.36264034227914,"2011-2012",2014,2015,15035,7156,7382,3,3,18,1,0,-0.340714822208672,18.3936785632348,2.09385628511154,3.62816401240662,2.7221967645293,2.192596645594,6.18492180570457,3.65191716070185,3.83578631495994,-13.4674672198871,18.2957484720252,1.70345636295893,0.563234899740715,0.640027727708537,-0.239966207275701,0.677458683283663,-0.0766922910893314,5.36365,739,0.979789192582425,1.54869342171176,-0.631354592722077,0.479025710419486,-0.0775208464468629,7.078395,370,1.19573107801395,2.17641375752642,-1.37986395396804,0.610810810810811,-0.135176911352132,0.949972051425377,0.0374510899944103,0.0125768585802124,3.36264034227914,0.949336223245733,0.0200487672717421,0.0306150094825251,3.36264034227914,0.753721244925575,0.0595399188092016,0.186738836265223,3.36264034227914,0.651351351351351,0.0621621621621622,0.286486486486487,3.36264034227914
"CO","target_lags",11,"L1","MSE","MSE","abs_residual_95",0.95,-1.51729159116194,1.51729159116194,3.03458318232388,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,-0.192061367038895,15.3231009371008,1.98241301018512,2.96569074830734,2.47808056218628,2.14180224196769,2.95692175042209,1.38965073262747,2.06542528309804,-9.50277225511634,37.9823197287697,1.80414138952537,0.575338822295191,0.674018864224027,-0.340373187418896,0.726225955025738,-0.10878198170021,5.36365,739,0.990602124500693,1.58830941393779,-1.07211484811831,0.626522327469553,-0.131639575402545,7.078395,370,1.2124321639287,2.29378766647571,-2.0156177039941,0.789189189189189,-0.197457854384179,0.949972051425377,0.0300447177193963,0.0199832308552264,3.03458318232388,0.933622324573286,0.0215388783527499,0.0448387970739637,3.03458318232388,0.703653585926928,0.0392422192151556,0.257104194857916,3.03458318232388,0.581081081081081,0.0189189189189189,0.4,3.03458318232388
"CO","target_lags",11,"Huber","MSE","MSE","abs_residual_95",0.95,-1.48751945798686,1.48751945798686,2.97503891597372,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.301031262090449,15.3108315669909,2.01897378509428,3.10139716256874,2.54531722287121,2.13960881438018,4.92882874320123,1.65226961608992,2.89321335067419,-8.93905183844048,36.5219166539593,1.77933435395278,0.580464114080607,0.709427555451959,-0.408479371537505,0.757111893795719,-0.130548460225273,5.36365,739,0.980213901492347,1.55062630480514,-1.00477016678091,0.623815967523681,-0.123370661608063,7.078395,370,1.19642484660596,2.20832461324759,-1.89886882176969,0.781081081081081,-0.186020673742184,0.949972051425377,0.0308831749580771,0.0191447736165456,2.97503891597372,0.928339203467895,0.020319696559198,0.0513410999729071,2.97503891597372,0.703653585926928,0.0433017591339648,0.253044654939107,2.97503891597372,0.586486486486486,0.0243243243243243,0.389189189189189,2.97503891597372
"CO","target_lags",11,"L1","MSE","MSE","equal_tail_95",0.95,-1.65478157806538,1.3161033102884,2.97088488835379,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,-0.192061367038895,15.3231009371008,1.98241301018512,2.96569074830734,2.47808056218628,2.14180224196769,2.95692175042209,1.38965073262747,2.06542528309804,-9.50277225511634,37.9823197287697,1.80414138952537,0.575338822295191,0.674018864224027,-0.340373187418896,0.726225955025738,-0.10878198170021,5.36365,739,0.990602124500693,1.58830941393779,-1.07211484811831,0.626522327469553,-0.131639575402545,7.078395,370,1.2124321639287,2.29378766647571,-2.0156177039941,0.789189189189189,-0.197457854384179,0.949972051425377,0.0250139742873113,0.0250139742873113,2.97088488835379,0.919804930913032,0.0188295854781902,0.0613654836087781,2.97088488835379,0.675236806495264,0.0351826792963464,0.28958051420839,2.97088488835379,0.556756756756757,0.0162162162162162,0.427027027027027,2.97088488835379
"CO","target_lags",11,"Huber","MSE","MSE","equal_tail_95",0.95,-1.6482465552948,1.30901160653814,2.95725816183294,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.301031262090449,15.3108315669909,2.01897378509428,3.10139716256874,2.54531722287121,2.13960881438018,4.92882874320123,1.65226961608992,2.89321335067419,-8.93905183844048,36.5219166539593,1.77933435395278,0.580464114080607,0.709427555451959,-0.408479371537505,0.757111893795719,-0.130548460225273,5.36365,739,0.980213901492347,1.55062630480514,-1.00477016678091,0.623815967523681,-0.123370661608063,7.078395,370,1.19642484660596,2.20832461324759,-1.89886882176969,0.781081081081081,-0.186020673742184,0.949972051425377,0.0250139742873113,0.0250139742873113,2.95725816183294,0.911270658358169,0.0165266865348144,0.0722026551070171,2.95725816183294,0.679296346414073,0.0378890392422192,0.282814614343708,2.95725816183294,0.559459459459459,0.0162162162162162,0.424324324324324,2.95725816183294
"CO","target_lags",11,"PMM","MSE","MSE","equal_tail_95",0.95,-1.98424185369585,0.948409486424632,2.93265134012048,"2011-2012",2014,2015,15035,7156,7382,3,3,18,1,0,-0.340714822208672,18.3936785632348,2.09385628511154,3.62816401240662,2.7221967645293,2.192596645594,6.18492180570457,3.65191716070185,3.83578631495994,-13.4674672198871,18.2957484720252,1.70345636295893,0.563234899740715,0.640027727708537,-0.239966207275701,0.677458683283663,-0.0766922910893314,5.36365,739,0.979789192582425,1.54869342171176,-0.631354592722077,0.479025710419486,-0.0775208464468629,7.078395,370,1.19573107801395,2.17641375752642,-1.37986395396804,0.610810810810811,-0.135176911352132,0.949972051425377,0.0250139742873113,0.0250139742873113,2.93265134012048,0.881874830669195,0.0124627472229748,0.10566242210783,2.93265134012048,0.684709066305819,0.0487144790257104,0.266576454668471,2.93265134012048,0.562162162162162,0.045945945945946,0.391891891891892,2.93265134012048
