"target","feature_set","n_features","n_train","n_val","dispatch","gamma3","gamma4","g2","val_nrmse","val_mae","val_bias","val_under_rate","val_reserve_error"
"CO","static",9,22191,7158,"PMM2",8.04517101090765,147.986708267508,0.568463250228086,0.767632406204116,0.918992416074127,-0.519531929450365,0.68706342553786,-0.249642627734259
"CO","arx",20,22185,7156,"PMM2",9.69195912262355,240.437436102972,0.612543041435612,0.573463189494548,0.618900022859225,-0.0625208142670178,0.510760201229737,-0.0300417810618987
