"method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","cov_med","width_med","pmm2_med","pmm3_med"
"L1",25,2.1312050845707,2.1312050845707,2.1312050845707,0.426614481409002,5.67652534732252,0,0
"LSE",25,30.0147426154598,30.0147426154598,30.0147426154598,0.649706457925636,46.5471521226097,0,0
"ridge-LSE",25,30.0307499188091,30.0307499188091,30.0307499188091,0.649706457925636,46.6293701790729,0,0
"WPMM2",25,251.367225244495,251.367225244495,251.367225244495,0.592954990215264,19.0814884069966,0,0
"PMM",25,361.898537274381,361.898537274381,361.898537274381,0.935420743639922,1746.77488122663,1,0
"Huber",25,574.652576631752,574.652576631752,574.652576631752,0.592954990215264,3.65869000973188,0,0
