"target","feature_set","n_features","method","criterion_label","criterion_type","interval_type","level","lower_offset","upper_offset","interval_width","train_years","calibration_year","test_year","n_train","n_cal","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error","cal_coverage","cal_lower_miss_rate","cal_upper_miss_rate","cal_mean_width","test_coverage","test_lower_miss_rate","test_upper_miss_rate","test_mean_width","top10_coverage","top10_lower_miss_rate","top10_upper_miss_rate","top10_mean_width","top5_coverage","top5_lower_miss_rate","top5_upper_miss_rate","top5_mean_width"
"CO","target_lags",11,"PMM","MSE","MSE","abs_residual_95",0.95,-1.82638552408348,1.82638552408348,3.65277104816695,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,2.11185087702694,0.911981230833013,-0.0325033205017873,0.696830127336765,-0.0103879381417645,5.36365,739,2.3099137803836,2.40047147051541,0.545869863342923,0.415426251691475,0.0670246076356724,7.078395,370,2.86588075009285,3.4150709452865,0.292466208461412,0.608108108108108,0.0286511424702371,0.949972051425377,0.0391280044717719,0.0108999441028508,3.65277104816695,0.93673801137903,0.0387428881062043,0.0245191005147656,3.65277104816695,0.734776725304465,0.121786197564276,0.143437077131258,3.65277104816695,0.678378378378378,0.1,0.221621621621622,3.65277104816695
"CO","target_lags",11,"Huber","MSE","MSE","abs_residual_95",0.95,-1.60038225806379,1.60038225806379,3.20076451612757,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.562337096501289,0.679207341104439,-0.301653222059571,0.718639934976971,-0.0964072274045168,5.36365,739,0.923438317602304,1.40991885266214,-0.577436555174085,0.503382949932341,-0.0709005225311815,7.078395,370,1.113484621099,1.89313184060826,-1.26898401416793,0.64054054054054,-0.12431467544113,0.949972051425377,0.0373113471212968,0.0127166014533259,3.20076451612757,0.943917637496613,0.021132484421566,0.0349498780818206,3.20076451612757,0.774018944519621,0.0487144790257104,0.177266576454668,3.20076451612757,0.697297297297297,0.0351351351351351,0.267567567567568,3.20076451612757
"CO","target_lags",11,"L1","MSE","MSE","abs_residual_95",0.95,-1.42688095231938,1.42688095231938,2.85376190463875,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.550217179301742,0.631756431801591,-0.30379948627829,0.717014359252235,-0.0970931653208787,5.36365,739,0.939094645039315,1.48264261127384,-1.16833812195622,0.745602165087957,-0.14345434593212,7.078395,370,1.14773591415983,2.20742029627425,-2.04325212164161,0.908108108108108,-0.20016503085173,0.949972051425377,0.0325600894354388,0.0174678591391839,2.85376190463875,0.929422920617719,0.020997019777838,0.0495800596044432,2.85376190463875,0.683355886332882,0.0257104194857916,0.290933694181326,2.85376190463875,0.52972972972973,0.0162162162162162,0.454054054054054,2.85376190463875
"CO","target_lags",11,"LSE","MSE","MSE","abs_residual_95",0.95,-1.6549195335172,1.6549195335172,3.3098390670344,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,1.12845222832333,1.19928192025925,-0.979519623397501,0.900568951503658,-0.31305076218088,5.36365,739,1.2058001948926,2.20161859250767,-1.77566291047009,0.921515561569689,-0.218024693905309,7.078395,370,1.45635845081289,2.97958963282728,-2.31410135794956,0.908108108108108,-0.226698489531411,0.949972051425377,0.0223588596981554,0.0276690888764673,3.3098390670344,0.762259550257383,0.010566242210783,0.227174207531834,3.3098390670344,0.54127198917456,0.027063599458728,0.431664411366712,3.3098390670344,0.375675675675676,0.0405405405405405,0.583783783783784,3.3098390670344
"CO","target_lags",11,"L1","MSE","MSE","equal_tail_95",0.95,-1.59682416390822,1.16857169819744,2.76539586210566,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.550217179301742,0.631756431801591,-0.30379948627829,0.717014359252235,-0.0970931653208787,5.36365,739,0.939094645039315,1.48264261127384,-1.16833812195622,0.745602165087957,-0.14345434593212,7.078395,370,1.14773591415983,2.20742029627425,-2.04325212164161,0.908108108108108,-0.20016503085173,0.949972051425377,0.0250139742873113,0.0250139742873113,2.76539586210566,0.909103224058521,0.0166621511785424,0.0742346247629369,2.76539586210566,0.634641407307172,0.0230040595399188,0.342354533152909,2.76539586210566,0.454054054054054,0.0162162162162162,0.52972972972973,2.76539586210566
"CO","target_lags",11,"Huber","MSE","MSE","equal_tail_95",0.95,-1.88874954031921,1.05644964194295,2.94519918226217,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.562337096501289,0.679207341104439,-0.301653222059571,0.718639934976971,-0.0964072274045168,5.36365,739,0.923438317602304,1.40991885266214,-0.577436555174085,0.503382949932341,-0.0709005225311815,7.078395,370,1.113484621099,1.89313184060826,-1.26898401416793,0.64054054054054,-0.12431467544113,0.949972051425377,0.0250139742873113,0.0250139742873113,2.94519918226217,0.879978325657004,0.0144947168788946,0.105526957464102,2.94519918226217,0.706359945872801,0.0378890392422192,0.25575101488498,2.94519918226217,0.610810810810811,0.0243243243243243,0.364864864864865,2.94519918226217
"CO","target_lags",11,"PMM","MSE","MSE","equal_tail_95",0.95,-2.24216270295284,0.959383492502337,3.20154619545518,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,2.11185087702694,0.911981230833013,-0.0325033205017873,0.696830127336765,-0.0103879381417645,5.36365,739,2.3099137803836,2.40047147051541,0.545869863342923,0.415426251691475,0.0670246076356724,7.078395,370,2.86588075009285,3.4150709452865,0.292466208461412,0.608108108108108,0.0286511424702371,0.949972051425377,0.0250139742873113,0.0250139742873113,3.20154619545518,0.846383094012463,0.0295312923327012,0.124085613654836,3.20154619545518,0.663058186738836,0.0920162381596752,0.244925575101488,3.20154619545518,0.532432432432432,0.0756756756756757,0.391891891891892,3.20154619545518
"CO","target_lags",11,"LSE","MSE","MSE","equal_tail_95",0.95,-1.58425247243532,1.75824747725826,3.34249994969359,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,1.12845222832333,1.19928192025925,-0.979519623397501,0.900568951503658,-0.31305076218088,5.36365,739,1.2058001948926,2.20161859250767,-1.77566291047009,0.921515561569689,-0.218024693905309,7.078395,370,1.45635845081289,2.97958963282728,-2.31410135794956,0.908108108108108,-0.226698489531411,0.949972051425377,0.0250139742873113,0.0250139742873113,3.34249994969359,0.791248984015172,0.010837171498239,0.197913844486589,3.34249994969359,0.584573748308525,0.027063599458728,0.388362652232747,3.34249994969359,0.424324324324324,0.0405405405405405,0.535135135135135,3.34249994969359
"CO","target_lags",11,"L1","MSE","MSE","upper_95",0.95,-Inf,0.689854725243785,NA,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.550217179301742,0.631756431801591,-0.30379948627829,0.717014359252235,-0.0970931653208787,5.36365,739,0.939094645039315,1.48264261127384,-1.16833812195622,0.745602165087957,-0.14345434593212,7.078395,370,1.14773591415983,2.20742029627425,-2.04325212164161,0.908108108108108,-0.20016503085173,0.949972051425377,0,0.0500279485746227,NA,0.786778650772148,0,0.213221349227852,NA,0.514208389715832,0,0.485791610284168,NA,0.275675675675676,0,0.724324324324324,NA
"CO","target_lags",11,"Huber","MSE","MSE","upper_95",0.95,-Inf,0.680682716789964,NA,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.562337096501289,0.679207341104439,-0.301653222059571,0.718639934976971,-0.0964072274045168,5.36365,739,0.923438317602304,1.40991885266214,-0.577436555174085,0.503382949932341,-0.0709005225311815,7.078395,370,1.113484621099,1.89313184060826,-1.26898401416793,0.64054054054054,-0.12431467544113,0.949972051425377,0,0.0500279485746227,NA,0.747764833378488,0,0.252235166621512,NA,0.683355886332882,0,0.316644113667118,NA,0.562162162162162,0,0.437837837837838,NA
"CO","target_lags",11,"PMM","MSE","MSE","upper_95",0.95,-Inf,0.622777576650013,NA,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,2.11185087702694,0.911981230833013,-0.0325033205017873,0.696830127336765,-0.0103879381417645,5.36365,739,2.3099137803836,2.40047147051541,0.545869863342923,0.415426251691475,0.0670246076356724,7.078395,370,2.86588075009285,3.4150709452865,0.292466208461412,0.608108108108108,0.0286511424702371,0.949972051425377,0,0.0500279485746227,NA,0.725955025738282,0,0.274044974261718,NA,0.696887686062246,0,0.303112313937754,NA,0.532432432432432,0,0.467567567567568,NA
