"criterion","method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","nrmse_max","cov_med","cov_q1","cov_q3","width_med","cond_med","pmm2_med"
"MSE","L1",30,1.34532762488106,1.26443088712563,1.40981007966436,1.68551052128791,0.814102564102564,0.794777526395174,0.836774132730015,1.17416087573955,3.49406925763602,0
"MSE","Huber",30,5.19741445628533,5.08299822996102,5.25993574297453,5.49854570847366,0.425339366515837,0.424396681749623,0.426470588235294,2.45821247773854,3.41307589895844,0
"MSE","PMM",30,5.69927272892848,2.66342774024068,6.16384329594619,8.86305811271606,0.426282051282051,0.423265460030166,0.658748114630468,2.75470821838024,3.4054301554549,1
"MSE","ridge-LSE",30,8.15919915795412,7.86617720003355,8.33628830721478,44.9360637462285,0.425904977375566,0.423171191553544,0.640789969834088,3.56158064941449,3.14149606274897,0
"MSE","LSE",30,8.15921929513005,7.86619691875076,8.33630949422205,44.5355567231333,0.425904977375566,0.423171191553544,0.642203996983409,3.56158942605258,3.14149584105111,0
"ReserveTW4","L1",30,1.34532762488106,1.26443088712563,1.40981007966436,1.68551052128791,0.814102564102564,0.794777526395174,0.836774132730015,1.17416087573955,3.49406925763602,0
"ReserveTW4","Huber",30,5.19741445628533,5.08299822996102,5.25993574297453,5.49854570847366,0.425339366515837,0.424396681749623,0.426470588235294,2.45821247773854,3.41307589895844,0
"ReserveTW4","PMM",30,6.03312635796677,4.71653601393201,6.20599686817081,8.86305811272903,0.42486802413273,0.421615761689291,0.428261689291101,2.90588302654925,3.4054301554549,1
"ReserveTW4","ridge-LSE",30,8.1956300692595,8.06511634974776,8.40308813485558,44.9360637462285,0.424396681749623,0.422935520361991,0.554110105580694,3.57235479095889,3.14149606274897,0
"ReserveTW4","LSE",30,8.19565054611703,8.06513633092167,8.40311036579652,44.5355567231333,0.424396681749623,0.422935520361991,0.554392911010558,3.57236263055589,3.14149584105111,0
