"seed","criterion","method","nrmse_test","nrmse_cal","coverage","n_test","n_in","width","max_log10_cond","pmm2_share","pmm3_share","best_layer","n_train","n_val"
75001,"MSE","PMM",6.27880396836602,4.31021443774871,0.522082752208275,2151,1123,5.34991134176695,3.78825665602729,0.611111111111111,0,3,2866,955
75001,"MSE","LSE",4.81091168572735,3.80087901981788,0.815899581589958,2151,1755,4.93699213663162,3.77812991641614,0,0,3,2866,955
75001,"MSE","ridge-LSE",4.80943014945615,3.80037409027484,0.817759181775918,2151,1759,4.9360105657484,3.77812956672028,0,0,3,2866,955
75001,"MSE","Huber",3.78142730788624,3.51864768738118,0.96838679683868,2151,2083,4.72996054953915,4.80782159758241,0,0,3,2866,955
75001,"MSE","L1",3.08653475296043,3.20411419347175,0.935843793584379,2151,2013,4.43992153546783,4.32100241201216,0,0,3,2866,955
75001,"ReserveTW4","PMM",6.27880396836602,4.31021443774871,0.522082752208275,2151,1123,5.34991134176695,3.78825665602729,0.611111111111111,0,3,2866,955
75001,"ReserveTW4","LSE",4.81091168572735,3.80087901981788,0.815899581589958,2151,1755,4.93699213663162,3.77812991641614,0,0,3,2866,955
75001,"ReserveTW4","ridge-LSE",4.80943014945615,3.80037409027484,0.817759181775918,2151,1759,4.9360105657484,3.77812956672028,0,0,3,2866,955
75001,"ReserveTW4","Huber",3.78142730788624,3.51864768738118,0.96838679683868,2151,2083,4.72996054953915,4.80782159758241,0,0,3,2866,955
75001,"ReserveTW4","L1",3.08653475296043,3.20411419347175,0.935843793584379,2151,2013,4.43992153546783,4.32100241201216,0,0,3,2866,955
