"seed","criterion","method","nrmse_test","nrmse_cal","coverage","n_test","n_in","width","max_log10_cond","pmm2_share","pmm3_share","best_layer","n_train","n_val"
75001,"MSE","PMM",6.18592243389983,3.51366859225522,0.424396681749623,5304,2251,2.96212825890481,3.39933046771478,1,0,1,13513,4504
75001,"MSE","LSE",8.19849844750212,4.53692835938945,0.423453996983409,5304,2246,3.56654399372451,3.13114398936912,0,0,1,13513,4504
75001,"MSE","ridge-LSE",8.19848424819008,4.53691779930523,0.423453996983409,5304,2246,3.56653950684654,3.1311445825701,0,0,1,13513,4504
75001,"MSE","Huber",5.20238268357706,3.03277553388836,0.425904977375566,5304,2259,2.46900713534233,3.41312569848303,0,0,1,13513,4504
75001,"MSE","L1",1.34632704395292,1.42888396496746,0.812971342383107,5304,4312,1.18576663578874,3.51658455867167,0,0,1,13513,4504
75001,"ReserveTW4","PMM",6.18592243389983,3.51366859225522,0.424396681749623,5304,2251,2.96212825890481,3.39933046771478,1,0,1,13513,4504
75001,"ReserveTW4","LSE",8.19849844750212,4.53692835938945,0.423453996983409,5304,2246,3.56654399372451,3.13114398936912,0,0,1,13513,4504
75001,"ReserveTW4","ridge-LSE",8.19848424819008,4.53691779930523,0.423453996983409,5304,2246,3.56653950684654,3.1311445825701,0,0,1,13513,4504
75001,"ReserveTW4","Huber",5.20238268357706,3.03277553388836,0.425904977375566,5304,2259,2.46900713534233,3.41312569848303,0,0,1,13513,4504
75001,"ReserveTW4","L1",1.34632704395292,1.42888396496746,0.812971342383107,5304,4312,1.18576663578874,3.51658455867167,0,0,1,13513,4504
