"criterion","method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","nrmse_max","cov_med","cov_q1","cov_q3","width_med","cond_med","pmm2_med"
"MSE","L1",30,2.84806799191789,2.37642686610832,3.36218325428473,5.28253126143559,0.98047419804742,0.918874941887494,0.98791259879126,4.28135547171294,3.74304935130933,0
"MSE","Huber",30,3.48702839993,3.10716154551192,3.81498683100475,4.53452062232824,0.969084146908415,0.953277545327755,0.97768479776848,4.66343886764127,4.60886706942605,0
"MSE","ridge-LSE",30,4.16971195234959,3.74398323818961,4.578714933559,5.90325290808455,0.930962343096234,0.888540213854021,0.953742445374245,4.83873348144103,3.79704933755318,0
"MSE","LSE",30,4.24362584744968,3.73252189607002,4.53035581444398,5.91006153035403,0.930729893072989,0.895862389586239,0.953277545327755,4.80796913663635,4.16017955980057,0
"MSE","PMM",30,5.47652934843435,5.05389653903655,5.98487969146609,6.76640459784794,0.693630869363087,0.577870757787076,0.793933054393305,5.15100550550178,3.81710169023777,0.555555555555556
"ReserveTW4","L1",30,2.84806799191789,2.37642686610832,3.36218325428473,5.28253126143559,0.98047419804742,0.918874941887494,0.98791259879126,4.28135547171294,3.74304935130933,0
"ReserveTW4","Huber",30,3.48702839993,3.10716154551192,3.81498683100475,4.53452062232824,0.969084146908415,0.953277545327755,0.97768479776848,4.66343886764127,4.60886706942605,0
"ReserveTW4","ridge-LSE",30,4.16971195234959,3.74398323818961,4.578714933559,5.90325290808455,0.930962343096234,0.888540213854021,0.953742445374245,4.83873348144103,3.79704933755318,0
"ReserveTW4","LSE",30,4.24362584744968,3.74612962990074,4.53035581444398,5.91006153035403,0.930729893072989,0.895862389586239,0.953277545327755,4.80796913663635,4.16017955980057,0
"ReserveTW4","PMM",30,5.47652934843435,5.05389653903655,5.98487969146609,6.76640459784794,0.693630869363087,0.577870757787076,0.793933054393305,5.15100550550178,3.81710169023777,0.555555555555556
