"target","feature_set","n_features","method","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"y1","dynamic",14,"PMM",6047,2016,2016,3,3,18,0.5,0,0.226291567520948,0.00557337566323162,0.0010768604810417,0.250992063492063,0.0143649221803814,0.106957235,202,0.337035927839297,0.0212697327144509,-0.00653460479582726,0.693069306930693,-0.0333606119551719,0.14418745,101,0.468318143870089,0.0341884651496794,-0.0126795079769836,0.702970297029703,-0.0466517837474205
"y1","dynamic",14,"ridge-LSE",6047,2016,2016,3,3,18,0,0,0.228405093757308,0.00513325723918237,0.000546053201495566,0.225694444444444,0.00728414858185111,0.106957235,202,0.339153196558013,0.0210373323291264,-0.00587201360749569,0.688118811881188,-0.0299779364591779,0.14418745,101,0.472435935397724,0.0342838849520812,-0.0129239394370225,0.722772277227723,-0.0475511217686991
"y1","dynamic",14,"LSE",6047,2016,2016,3,3,18,0,0,0.228430014916536,0.00513279247471497,0.00054450289504053,0.226190476190476,0.00726346806476008,0.106957235,202,0.339199624030542,0.021039601762088,-0.00587822375188117,0.688118811881188,-0.0300096406285213,0.14418745,101,0.472499916371885,0.0342882703758292,-0.0129380149442586,0.722772277227723,-0.0476029098602325
"y1","dynamic",14,"Huber",6047,2016,2016,3,2,18,0,0,0.234967811863672,0.00408002103812316,0.000231509729783702,0.374503968253968,0.00308825452404737,0.106957235,202,0.347759830557849,0.019852504759691,0.00448012466953013,0.52970297029703,0.0228720336241974,0.14418745,101,0.480364909234194,0.0316682501029995,0.00477503100543966,0.554455445544555,0.0175687979578842
"y1","dynamic",14,"L1",6047,2016,2016,3,3,18,0,0,0.251887052585831,0.00413926636405142,0.000214733266554663,0.446924603174603,0.00286446268379548,0.106957235,202,0.377428349007989,0.0204737793211968,0.00521658026306512,0.559405940594059,0.026631803349495,0.14418745,101,0.527158221851634,0.0332622415319214,0.00642674706002291,0.594059405940594,0.0236459659623869
"y1","static",5,"L1",6048,2016,2017,3,3,18,0,0,0.9835860087782,0.0292939527608389,-0.00145217523001439,0.373822508676252,-0.0193745606470285,0.106953558,202,1.50550487489502,0.120679472091925,-0.120679472091925,1,-0.616095565868753,0.144168088,101,2.11984731433207,0.195865848305637,-0.195865848305637,1,-0.72065029772816
"y1","static",5,"PMM",6048,2016,2017,3,3,18,1,0,0.999574806577109,0.0298037935843158,-0.00341996665154848,0.408527516113039,-0.0456283442464299,0.106953558,202,1.53330087861839,0.124653543589532,-0.124653543589532,1,-0.636384085412956,0.144168088,101,2.15349867395509,0.200367188120638,-0.200367188120638,1,-0.737212102177059
"y1","static",5,"ridge-LSE",6048,2016,2017,3,1,18,0,0,1.02876880635897,0.0367548317385921,0.0138254953480292,0.193356470004958,0.184456319429797,0.106953558,202,1.42490710285405,0.107360479254498,-0.107360479254498,1,-0.548099142891982,0.144168088,101,2.02650369447293,0.183662229380883,-0.183662229380883,1,-0.675749455199644
"y1","static",5,"LSE",6048,2016,2017,3,1,18,0,0,1.02876880635903,0.0367548317386012,0.013825495348043,0.193356470004958,0.184456319429983,0.106953558,202,1.42490710285395,0.107360479254486,-0.107360479254486,1,-0.548099142891917,0.144168088,101,2.0265036944728,0.183662229380868,-0.183662229380868,1,-0.67574945519959
"y1","static",5,"Huber",6048,2016,2017,3,3,18,0,0,1.20444098056141,0.0400025294798997,0.0157118695964012,0.238472979672781,0.209623855359817,0.106953558,202,1.58196647554872,0.124235218122613,-0.0831091433565266,0.856435643564356,-0.424290675269973,0.144168088,101,2.16068313684597,0.193880851397332,-0.158702221483418,0.930693069306931,-0.583913960251403
