"target","feature_set","n_features","n_train","n_val","dispatch","gamma3","gamma4","g2","val_nrmse","val_mae","val_bias","val_under_rate","val_reserve_error"
"CO","static",9,22191,7158,"PMM2",8.05817494919232,143.650586738271,0.554178359552543,0.767632406204116,0.918992416074127,-0.519531929450365,0.68706342553786,-0.249642627734259
"CO","target_lags",11,22185,7156,"PMM2",10.121333764017,214.298873707522,0.5263895950695,0.672171575692983,0.793960554240083,-0.455845657875561,0.711570709893795,-0.219037701483324
"CO","input_lags",18,22188,7157,"PMM2",7.78484615179792,140.762632164592,0.575492349165345,0.743065792855827,0.876442144662649,-0.261761334150693,0.55386335056588,-0.12577872104768
"CO","full_arx",20,22185,7156,"PMM2",9.80130209408771,241.935886487234,0.606185362379653,0.573463189494548,0.618900022859225,-0.0625208142670178,0.510760201229737,-0.0300417810618987
