"regime","seed","n","p","max_h","mean_h","frac_hi_lev","g3_iid","g3_stud","g4_iid","g4_stud","se_g3_iid","se_g3_stud","method_iid","method_stud","agree"
"exp_skew",91001,400,6,0.417563131904934,0.0149999999999983,0.05,2.47148912309842,2.42306759061229,11.4560291664063,11.2991759718104,1.13692348789087,1.11634235574322,"PMM2","PMM2",TRUE
"exp_skew",91002,400,6,0.577280432762744,0.0149999999999984,0.045,2.05974268862298,2.05088235940179,5.16890909037779,5.09137105422764,0.201469126678952,0.193342957061892,"PMM2","PMM2",TRUE
"exp_skew",91003,400,6,0.41261501026491,0.0149999999999983,0.0525,1.55408929888132,1.54881792926838,2.68078309930067,2.65928468905796,0.212858619647487,0.207773996091729,"PMM2","PMM2",TRUE
"exp_skew",91004,400,6,0.373263917677189,0.0149999999999985,0.045,1.73693902041378,1.72793617524979,3.38658302871482,3.35890363628845,0.191274229259853,0.191047218071588,"PMM2","PMM2",TRUE
"exp_skew",91005,400,6,0.441583764103684,0.0149999999999985,0.04,1.48592355051506,1.47100905513422,2.62561572329332,2.52348839353312,0.210166139530079,0.19959060904278,"PMM2","PMM2",TRUE
"exp_skew",91006,400,6,0.499977119048543,0.0149999999999985,0.0425,1.6212675326296,1.61526459436938,3.03009577127859,2.99793325577981,0.205004107375651,0.206663792857183,"PMM2","PMM2",TRUE
"exp_skew",91007,400,6,0.488370655214858,0.0149999999999985,0.045,1.76230601080745,1.75154148524257,4.17605692611291,4.10086600913526,0.247516379152578,0.246978221041632,"PMM2","PMM2",TRUE
"exp_skew",91008,400,6,0.386574985044308,0.0149999999999985,0.045,2.04279184077533,2.02768065153072,6.04239559290581,5.94612207312071,0.282323724500816,0.281812846754071,"PMM2","PMM2",TRUE
"exp_skew",91009,400,6,0.398271465934179,0.0149999999999984,0.0525,1.55326391547001,1.54500387914676,2.64892036678277,2.633958753326,0.155692697994001,0.146708680276879,"PMM2","PMM2",TRUE
"exp_skew",91010,400,6,0.437530026835303,0.0149999999999985,0.0425,1.99413817082084,1.98119548654153,5.80031123383392,5.6586643129624,0.358666526557782,0.350345612555839,"PMM2","PMM2",TRUE
"exp_skew",91011,400,6,0.773237220661906,0.0149999999999985,0.0425,2.88592847674711,2.80277801246618,16.0993626693364,15.1609568139945,1.05729274597799,1.05878566765271,"PMM2","PMM2",TRUE
"exp_skew",91012,400,6,0.551335733467199,0.0149999999999984,0.0525,2.27775736268954,2.26306308855922,7.58269236724121,7.49061925143959,0.315549856114315,0.313607361893777,"PMM2","PMM2",TRUE
"exp_skew",91013,400,6,0.49502406579929,0.0149999999999984,0.045,2.35208133295847,2.33924644302149,8.2778863855641,8.19701650768349,0.40889375675456,0.412834551918844,"PMM2","PMM2",TRUE
"exp_skew",91014,400,6,0.595789076337902,0.0149999999999986,0.04,2.20749075931243,2.18729321886684,6.88166709969068,6.77287422533421,0.245973255165838,0.241439611054195,"PMM2","PMM2",TRUE
"exp_skew",91015,400,6,0.561713914460956,0.0149999999999985,0.04,1.76354246499628,1.75248428202379,3.93613401869278,3.85736692649445,0.215816791559986,0.21959415739507,"PMM2","PMM2",TRUE
"exp_skew",91016,400,6,0.427780152164346,0.0149999999999984,0.05,1.81108686043446,1.80111327466075,4.85717703565391,4.81910923182594,0.273141107068338,0.274050275616451,"PMM2","PMM2",TRUE
"exp_skew",91017,400,6,0.642368947233841,0.0149999999999985,0.045,1.95085541751543,1.89300505838008,5.93660284956209,5.74921673913005,0.376974572618641,0.382521377223237,"PMM2","PMM2",TRUE
