"seed","tail_weight","tail_prob","method","nrmse_test"
75001,2,0.85,"PMM",0.760996985654026
75001,2,0.85,"LSE",1.23701711073762
75001,2,0.85,"Huber",1.12331230102466
75002,2,0.85,"PMM",0.715604276904247
75002,2,0.85,"LSE",0.708889555476002
75002,2,0.85,"Huber",0.745992302814653
75003,2,0.85,"PMM",0.774332640143931
75003,2,0.85,"LSE",0.876091392254254
75003,2,0.85,"Huber",1.05689145451337
75004,2,0.85,"PMM",1.63960647165418
75004,2,0.85,"LSE",2.23949628850832
75004,2,0.85,"Huber",2.6667739201807
75005,2,0.85,"PMM",0.733957253214578
75005,2,0.85,"LSE",0.78454042151483
75005,2,0.85,"Huber",0.778131998901909
75006,2,0.85,"PMM",1.00634345247311
75006,2,0.85,"LSE",0.817824242687456
75006,2,0.85,"Huber",0.816148571110458
75007,2,0.85,"PMM",1.99124822613106
75007,2,0.85,"LSE",0.789727488731413
75007,2,0.85,"Huber",0.870843987650363
75008,2,0.85,"PMM",0.745084227194496
75008,2,0.85,"LSE",1.10286445259496
75008,2,0.85,"Huber",0.792794788068123
75009,2,0.85,"PMM",0.8046947978997
75009,2,0.85,"LSE",15.6866467330111
75009,2,0.85,"Huber",1.01539855666266
75010,2,0.85,"PMM",0.802045254346357
75010,2,0.85,"LSE",0.99714360470969
75010,2,0.85,"Huber",1.70960552199743
75011,2,0.85,"PMM",0.800283044378012
75011,2,0.85,"LSE",1.03413641853686
75011,2,0.85,"Huber",0.979411543849628
75012,2,0.85,"PMM",8.52952091660686
75012,2,0.85,"LSE",7.18496193765808
75012,2,0.85,"Huber",0.846105576657899
75013,2,0.85,"PMM",0.916161919141581
75013,2,0.85,"LSE",2.25656694517234
75013,2,0.85,"Huber",0.829490335608373
75014,2,0.85,"PMM",0.723068769832987
75014,2,0.85,"LSE",0.753096773415448
75014,2,0.85,"Huber",0.973369812513256
75015,2,0.85,"PMM",0.863051467336583
75015,2,0.85,"LSE",0.960569874377038
75015,2,0.85,"Huber",0.970214703833073
75001,2,0.9,"PMM",0.760996985654026
75001,2,0.9,"LSE",1.23701711073762
75001,2,0.9,"Huber",1.12331230102466
75002,2,0.9,"PMM",0.715604276904247
75002,2,0.9,"LSE",0.810392845927305
