"dataset","comparison","median_diff","ci_low","ci_high","wilcox_p","n_pairs"
"synthetic_var_audit (ReserveTW4)","PMM vs LSE",-0.0567650791196804,-0.287267937574839,0.050718517886754,0.427954606711865,30
"synthetic_var_audit (ReserveTW4)","PMM vs ridge-LSE",-0.0336719465001575,-0.279436282576374,0.08731489259561,0.489846087992191,30
"synthetic_var_audit (ReserveTW4)","PMM vs Huber",-0.0817982395653244,-0.280838193954901,-0.0144242371368865,0.00930112227797509,30
"synthetic_var_audit (ReserveTW4)","PMM vs L1",-0.064181076562856,-0.307720132117214,-0.015315703684219,0.157947674393654,30
"islr_credit_balance","PMM vs LSE",-0.00648348965409501,-0.0246851215258735,-0.00273770164256648,0.0497101210057736,30
"islr_credit_balance","PMM vs ridge-LSE",-0.0063015792867725,-0.0223964055162495,0.007904488638836,0.212932853028178,30
"islr_credit_balance","PMM vs Huber",-0.012093298838596,-0.025419675336616,-0.00260375807413649,0.01283373311162,30
"islr_credit_balance","PMM vs L1",-0.0213738568027535,-0.030155212336814,-0.00436421454773252,0.0011314544826746,30
