"regime","n","reps","coefMSE_LSE","coefMSE_PMM2","coefMSE_GMM","NRMSE_LSE","NRMSE_PMM2","NRMSE_GMM","ratio_GMM_PMM2_coefMSE","ratio_GMM_PMM2_NRMSE","ARE_PMM2_vs_LSE","ARE_GMM_vs_LSE","mean_coef_dist_GMM_PMM2","gmm_finite_frac"
"exp",2000,50,0.00243,0.00136,0.00158,0.40962,0.40938,0.40939,1.1632,1,1.782,1.532,0.01214,1
"lognorm",2000,50,0.00257,0.0016,0.0017,0.41165,0.41138,0.4114,1.0638,1.0001,1.609,1.512,0.01299,1
