"criterion","method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","nrmse_max","cov_med","width_med","frac_outside_hull","maha_ratio"
"ReserveTW4","LSE",30,0.842044250560265,0.83535103611045,0.850685494617033,0.872265910273869,0.9308,3.85665175925834,0.0032,0.990232908604607
"ReserveTW4","PMM",30,0.843058631284058,0.834410582071993,0.851764010524863,0.883123587743232,0.9302,3.85560548402561,0.0032,0.990232908604607
"ReserveTW4","Huber",30,0.87726884528723,0.868929515434488,0.889132709981627,0.921873243559088,0.931,4.14585388795875,0.0032,0.990232908604607
