"regime","gamma3","gamma4","favored","sel_FULL","sel_B0","pmm_share_FULL","pmm_share_B0","ARE_FULL","ARE_B0","ARE_PMM2","ARE_PMM3","ARE_LSE","detail_FULL","detail_B0"
"Gaussian",0,-0.008,"LSE","LSE","LSE",0.02,0,0.997,1,0.991,1,1,"LSE=0.98 PMM2=0.02 PMM3=0.00","LSE=1.00 PMM2=0.00 PMM3=0.00"
"exp",1.998,6.031,"PMM2","PMM2","PMM2",0.98,1,1.424,1.415,1.415,0.047,1,"LSE=0.02 PMM2=0.98 PMM3=0.00","LSE=0.00 PMM2=1.00 PMM3=0.00"
"lognorm",1.74,5.782,"PMM2","PMM2","PMM2",1,1,1.754,1.754,1.754,0.931,1,"LSE=0.00 PMM2=1.00 PMM3=0.00","LSE=0.00 PMM2=1.00 PMM3=0.00"
"uniform",-0.001,-1.2,"PMM3","PMM3","PMM3",1,1,2.291,2.291,0.985,2.291,1,"LSE=0.00 PMM2=0.00 PMM3=1.00","LSE=0.00 PMM2=0.00 PMM3=1.00"
"bimodal",0.002,-1.594,"PMM3","PMM3","PMM3",1,1,3.178,3.178,0.947,3.178,1,"LSE=0.00 PMM2=0.00 PMM3=1.00","LSE=0.00 PMM2=0.00 PMM3=1.00"
"laplace",0.001,2.988,"LSE","LSE","LSE",0.02,0.24,1.002,1.021,1.021,1.251,1,"LSE=0.98 PMM2=0.02 PMM3=0.00","LSE=0.76 PMM2=0.24 PMM3=0.00"
"contam",-0.005,13.485,"LSE","LSE","LSE",0.08,0.48,1.022,1.058,1.05,0.044,1,"LSE=0.92 PMM2=0.08 PMM3=0.00","LSE=0.52 PMM2=0.48 PMM3=0.00"
